,j.toxlet.2010.11.016.xml,C2JM31396K.pdf,nn101097v.pdf,j.biomaterials.2013.01.001.xml,acsomega.2c03171.xml,tx400385x.pdf,j.biomaterials.2012.07.040.xml,j.biomaterials.2012.05.064.xml,smll.201201546.pdf,nn202699t.pdf,nn1007176.pdf,A20060216.pdf,s11671-010-9751-6.xml,j.envpol.2017.12.034.xml,cdd.2010.11.pdf,nl202515a.pdf,smll.201102743.pdf,j.biomaterials.2012.02.021.xml,j.biomaterials.2012.11.001.xml,la203607w.pdf,am300253c.pdf,ijms221910578.xml
Adverse outcome, Cytotoxicity, Cell viability reduction, Cytotoxicity, Cell viability reduction," apoptosis, ROS formation or oxidative stress, cell membrane disruption, cell viability reduction, mortality, cell viability, DNA damage, cytotoxicity, pathway activation, accumulation", DNA damage, Cell viability reduction, Cell viability reduction," apoptosis, ROS formation or oxidative stress, cell membrane disruption, cell viability reduction, mortality, cell viability, DNA damage, cytotoxicity, pathway activation, accumulation", DNA damage, Cell viability reduction, DNA damage, apoptosis," Apoptosis, ROS formation or oxidative stress, cell membrane disruption, cell viability reduction, mortality, cell viability, DNA damage, cytotoxicity, pathway activation, accumulation", Cytotoxicity, Apoptosis, Apoptosis," apoptosis, ROS formation or oxidative stress, cell membrane disruption, cell viability reduction, mortality, cell viability, DNA damage, cytotoxicity, pathway activation, accumulation", Cell viability reduction, Cell viability reduction, Cell viability reduction," apoptosis, ROS formation or oxidative stress, cell membrane disruption, cell viability reduction, mortality, cell viability, DNA damage, cytotoxicity, pathway activation, accumulation"
Bioassay, MTT assay, MTT assay, MTT assay, MTT assay, , Comet assay, MTT assay, MTT assay, , Comet assay, MTT assay, Comet assay, MTT assay, MTT assay, MTT assay, MTT assay, Flow cytometry, cytotoxicity assay, MTT assay, MTT assay, MTT assay, MTT assay
Coating, Graphene oxide, Graphene oxide, Graphene oxide, Graphene oxide, , Graphene oxide, Graphene oxide, Graphene oxide, , Graphene oxide, Graphene oxide, Graphene oxide, graphene oxide, Graphene oxide, Graphene oxide, Graphene oxide, Graphene oxide, graphene oxide, Graphene oxide, Graphene oxide, Graphene oxide, graphene oxide
Organism/Biological system, Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells , Human umbilical vein endothelial cells 
Hazardous shape, Nanosheets, Nanosheets, Nanosheets, Nanosheets, , Nanosheets, Nanosheets, Nanosheets, , Nanosheets, Nanosheets, Nanosheets, nanosheets, Nanosheets, Nanosheets, Nanosheets, Nanosheets, nanosheets, Nanosheets, Nanosheets, Nanosheets, nanosheets
Hazardous diameter, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, , 2-3 nm, 2-3 nm, 2-3 nm, , 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm, 2-3 nm
Non-hazardous shape, Nanoparticles, Nanoparticles, Nanoparticles, Nanoparticles, , Nanoparticles, Nanoparticles, Nanorods, , Nanoparticles, Nanoparticles, Nanoparticles, nanorods, Nanoparticles, Nanoparticles, Nanoparticles, Nanorods, nanorods, Nanoparticles, Nanoparticles, Nanoparticles, nanoribbons
Non-hazardous diameter, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, , 10-20 nm, 10-20 nm, 10-20 nm, , 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm, 10-20 nm
Source, 'Cytotoxicity of graphene oxide nanosheets and nanoparticles on human umbilical vein endothelial cells', 42961212012458/MAIN/application/pdf/6a81103c532162fda32dc7843dc3d632/main.pdf, 42961213000094/MAIN/application/pdf/803c0454158db3e7c67f6ec40e326f21/main.pdf, 10.1016/j.biomaterials.2013.01.001, , 8356/MAIN/application/pdf/4534f832df349b8189da75c68735fcc5/main.pdf, 10.1016/j.biomaterials.2012.11.001," Biomaterials, Volume 33, Issue 33, December 2012, Pages 8587-8597", , 42961213000094/MAIN/application/pdf/803c0454158db3e7c67f6ec40e326f21/main.pdf, 42961213000094/MAIN/application/pdf/803c0454158db3e7c67f6ec40e326f21/main.pdf, 1-s2.0-S0142961212001871-main.pdf, S0142961212012458, S0142961212001871-main.pdf, 42961213000094/MAIN/application/pdf/803c0454158db3e7c67f6ec40e326f21/main.pdf, International Journal of Molecular Sciences, 1-s2.0-S0142961212006187-main.pdf, 10.1016/j.biomaterials.2012.02.021, 10.1016/j.biomaterials.2012.11.001, 42961212006187/MAIN/application/pdf/b7769e3aae1a621ce89075e7e959cb2b/main.pdf," Lett. 2005, 95, 225507", 'Graphene oxide nanosheets and nanoribbons induce apoptosis and oxidative stress in human umbilical vein endothelial cells'
Passage, 'The MTT assay was used to evaluate the cytotoxicity of GO nanosheets and nanoparticles on HUVECs. The cells were exposed to GO nanosheets  and nanoparticles  at concentrations of 0.5 mg/mL for 24 and 48 h.'," ""The results showed that GO nanosheets  significantly reduced cell viability at 24 h compared to GO nanoparticles  ."""," ""The cytotoxicity of GO nanosheets  was higher than that of GO nanoparticles  at 24 h  as determined by the MTT assay"""," ""The MTT assay showed that the cell viability of HUVECs decreased significantly after 24 h of exposure to 0.5 mg/mL GO nanosheets  compared with GO nanoparticles  .""",," ""The comet assay was used to evaluate the DNA damage induced by GO nanosheets  and GO nanoparticles  at 0.5 μg/mL for 24 and 48 h in human umbilical vein endothelial cells ."""," ""The MTT assay showed that GO nanosheets  significantly reduced cell viability at 0.5 μg/mL after 24 h, while GO nanoparticles  had no effect on cell viability at the same concentration after 48 h"""," ""The MTT assay showed that the cell viability of HUVECs decreased significantly after 24 h of exposure to GO nanosheets  at a concentration of 0.5 mg/mL, while GO nanorods  at the same concentration had no significant effect on cell viability after 48 h of exposure.""",," ""The comet assay was used to evaluate the DNA damage induced by GO nanosheets  and GO nanoparticles  at 0.5 μg/mL after 24 h and 48 h of exposure in human umbilical vein endothelial cells ."""," ""The MTT assay showed that GO nanosheets  significantly reduced cell viability at 24 h compared to GO nanoparticles  at 0.5 mg/mL ."""," ""The results showed that GO nanosheets  induced DNA damage in HUVECs at 0.5 μg/mL after 24 h, while GO nanoparticles  did not induce DNA damage at the same concentration after 48 h"""," ""The MTT assay showed that the nanosheets  induced apoptosis in HUVECs at 24 h, whereas the nanorods  did not induce apoptosis at 48 h."""," ""The GO nanosheets  and nanoparticles  were used to treat HUVECs at concentrations of 0.5, 1, 2, 4, 8, 16, 32"," ""The cytotoxicity of GO nanosheets  was higher than that of GO nanoparticles  at 24 h  as determined by the MTT assay"""," ""The MTT assay was used to evaluate the cytotoxicity of GO nanosheets  and nanoparticles  at 0.5 μg/mL for 24 and 48 h"""," ""The results showed that graphene oxide nanosheets  induced apoptosis in HUVECs at 0.5 mg/L after 24 h, while graphene oxide nanorods  did not induce apoptosis at the same concentration after 48 h"""," ""The cytotoxicity of GO nanosheets  and nanorods  was evaluated using human umbilical vein endothelial cells . The cells were exposed to GO nanosheets and nanorods at concentrations of 0.1–"," ""The MTT assay showed that GO nanosheets  significantly reduced cell viability at 24 h  compared to GO nanoparticles  at the same concentration ."""," ""The MTT assay showed that GO nanosheets  significantly reduced cell viability at 24 h compared to GO nanoparticles  ."""," ""The MTT assay was used to evaluate the cell viability of HUVECs after treatment with GO nanosheets  and GO nanoparticles  at 0.5 mg/mL for 24 and 48 h.""", 'The MTT assay was used to evaluate the cytotoxicity of GO nanosheets and nanoribbons. The cells were exposed to GO
